Link Title,Description,Module,Resource Type 1,Type,document url
Module 1 Lecture Slides - Economic Thought and Modeling,"Covers economic thought principles and modeling (budget constraints, PPC, comparative advantage)",Module 1,Lecture Slides,Embedded Resource,https://www.canva.com/design/DAGwfT91g1g/OdJml0o6MBrAhTj7OZbYCQ/view?utm_content=DAGwfT91g1g&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h17b226aba2
Module 5 Lecture Slides - Factors of Production,"Neoclassical resource distribution, markets for land, capital, and labor",Module 5,Lecture Slides,Embedded Resource,https://www.canva.com/design/DAGwfzL7oXA/3XmNY9jjdA9aILtYOLcC5Q/view?utm_content=DAGwfzL7oXA&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h49261ea0a9
Module 4 Lecture Slides - Welfare Economics,"Market equilibrium, surplus, government intervention, and deadweight loss",Module 4,Lecture Slides,Embedded Resource,https://www.canva.com/design/DAGwfq8bp5U/31Uju3ezcXK37ysvNjEstQ/view?utm_content=DAGwfq8bp5U&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h2a359dfe37
Module 3 Lecture Slides - Elasticity,"Price elasticity of demand and supply, total revenue, and elasticity applications",Module 3,Lecture Slides,Embedded Resource,https://www.canva.com/design/DAGwfniXtYU/-PJ5--Ubu-zd9eLiHasg2g/view?utm_content=DAGwfniXtYU&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h90aad4752f
Module 2 Lecture Slides - Supply and Demand,Building static market models and shifting supply and demand curves,Module 2,Lecture Slides,Embedded Resource,https://www.canva.com/design/DAGu3QAnbyo/X4tBmSFNVLX_Wjotx8TuKg/view?utm_content=DAGu3QAnbyo&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h17f367ac75
Module 6 Lecture Slides - Choice,"Utility, optimal choice, intertemporal choice, and bounded rationality",Module 6,Lecture Slides,Embedded Resource,https://www.canva.com/design/DAGwf10bfYw/salIXy7kgdoFrE_JiMkAVg/view?utm_content=DAGwf10bfYw&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hb547e94ffd
Module 9 Lecture Slides - Cost of Production,"Firm production, revenue, profits, and short-run/long-run costs",Module 9,Lecture Slides,Embedded Resource,https://docs.google.com/presentation/d/1_7e-cwVSdUN-C4VBvpeJj1gVNNsLCcRV/edit?usp=sharing&ouid=106497440738727652653&rtpof=true&sd=true
Module 10 Lecture Slides - Profit Maximization,Perfect competition and monopoly profit-maximizing behavior,Module 10,Lecture Slides,Embedded Resource,https://docs.google.com/presentation/d/1kozm3rG9vJ-KhPnAL-GDfC06sFFVNAfX/edit?usp=sharing&ouid=106497440738727652653&rtpof=true&sd=true
Module 12 Lecture Slides - Micro-Policy,"Types of goods, externalities, government responses with taxes and subsidies",Module 12,Lecture Slides,Embedded Resource,https://www.canva.com/design/DAG5q19uVic/8m5nIPLoKl01XmS99hJReA/view?utm_content=DAG5q19uVic&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hc51ff648b0
Module 11 Lecture Slides - Asymmetric Information,"Oligopoly, game theory, monopolistic competition, and antitrust law",Module 11,Lecture Slides,Embedded Resource,https://docs.google.com/presentation/d/17glhtdEYx9r_YZ3JdtStAWopq3TeAH8i/edit?usp=sharing&ouid=106497440738727652653&rtpof=true&sd=true
