New Module #,New Module Title,Resource Type,Type,Link Title,Description,Document URL,Original Module Label,Notes
1,Economic Thought and Modeling,Guided Notes,Embedded Resource,Economic Thought and Modeling,Guided notes for economic thought principles and modeling,https://docs.google.com/document/d/1E4dSuEoEusMNhri9EmtLq7lYJ_ayq5pP/edit?usp=sharing&ouid=112919447107893002324&rtpof=true&sd=true,Module 1,[LINK UNCHANGED - protected] unchanged - old module number already matches new design
1,Economic Thought and Modeling,Lecture Slides,Embedded Resource,Economic Thought and Modeling,"Covers economic thought principles and modeling (budget constraints, PPC, comparative advantage)",https://docs.google.com/presentation/d/1wvB4etiOhXJ78qMNao7qp3wSxT2-R79J/edit?usp=sharing&ouid=112919447107893002324&rtpof=true&sd=true,Module 1,[LINK UNCHANGED - protected] unchanged - old module number already matches new design
1,Economic Thought and Modeling,Quiz,External Link,Basic Economic Concepts (Quiz 1),Khan Academy practice quiz on scarcity and basic economic concepts,https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts/comparative-advantage-and-trade/quiz/basic-economic-concepts-quiz-2,Module 1,unchanged - old module number already matches new design
1,Economic Thought and Modeling,Quiz,External Link,Basic Economic Concepts (Quiz 2),Khan Academy practice quiz on production possibilities and trade-offs,https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts/16/quiz/basic-economic-concepts-quiz-3,Module 1,unchanged - old module number already matches new design
1,Economic Thought and Modeling,required reading - textbook,External Link,Choice in a World of Scarcity,OpenStax Chapter 2: Core reading,https://openstax.org/books/principles-microeconomics-3e/pages/2-introduction-to-choice-in-a-world-of-scarcity,Module 1,unchanged - old module number already matches new design
1,Economic Thought and Modeling,required reading - textbook,External Link,Welcome to Economics!,OpenStax Chapter 1: Core reading,https://openstax.org/books/principles-microeconomics-3e/pages/1-introduction,Module 1,unchanged - old module number already matches new design
1,Economic Thought and Modeling,optional reading - textbook,External Link,Demand and Supply (Optional),OpenStax Chapter 3: Optional reading,https://openstax.org/books/principles-microeconomics-3e/pages/3-introduction-to-demand-and-supply,Module 1,unchanged - old module number already matches new design
2,Choice,Guided Notes,Embedded Resource,Choice,"Guided notes for utility, optimal choice, and intertemporal choice",https://docs.google.com/document/d/1Ij1VlTa3XcLA2fd6XO8mF3SG_in--7_p/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,Module 6,[LINK UNCHANGED - protected] moved from old Module 6 (Choice content matches new M2)
2,Choice,Lecture Slides,Embedded Resource,Choice,"Utility, optimal choice, intertemporal choice, and bounded rationality",https://docs.google.com/presentation/d/1_PeWiZUBWdPmRKky8iTkLAtL1bvRYfqd/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,Module 6,[LINK UNCHANGED - protected] moved from old Module 6 (Choice content matches new M2)
2,Choice,Quiz,External Link,Basic Economic Concepts (Quiz 3),Khan Academy practice quiz on comparative advantage and constraints,https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts/16/quiz/basic-economic-concepts-quiz-3,Module 6,moved from old Module 6 (Choice content matches new M2)
2,Choice,required reading - textbook,External Link,Choice in a World of Scarcity,OpenStax Chapter 2: Core reading,https://openstax.org/books/principles-microeconomics-3e/pages/2-introduction-to-choice-in-a-world-of-scarcity,Module 6,moved from old Module 6 (Choice content matches new M2)
2,Choice,required reading - textbook,External Link,Consumer Choices,OpenStax Chapter 6: Core reading,https://openstax.org/books/principles-microeconomics-3e/pages/6-introduction-to-consumer-choices,Module 6,moved from old Module 6 (Choice content matches new M2)
2,Choice,optional reading - textbook,External Link,Financial Markets (Optional),OpenStax Chapter 17: Optional reading,https://openstax.org/books/principles-microeconomics-3e/pages/17-introduction-to-financial-markets,Module 6,moved from old Module 6 (Choice content matches new M2)
3,Supply and Demand,Guided Notes,Embedded Resource,Supply and Demand,Guided notes for building and shifting static market models,https://docs.google.com/document/d/17eGfQoFeouXaUmvjMFv0IMsF8Gj7dior/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,Module 2,[LINK UNCHANGED - protected] moved from old Module 2 (content matches new M3)
3,Supply and Demand,Lecture Slides,Embedded Resource,Supply and Demand,Building static market models and shifting supply and demand curves,https://docs.google.com/presentation/d/1KvYLhYeshv9CzcyL-7UoLET_x2tjzdh_/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,Module 2,[LINK UNCHANGED - protected] moved from old Module 2 (content matches new M3)
3,Supply and Demand,Quiz,External Link,Supply & Demand (Quiz 1),Khan Academy practice quiz on demand curves and market equilibrium,https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/unit-2-supply-and-demnd/22/quiz/unit-2-supply-and-demnd-quiz-1,Module 3,moved from old Module 2 (content matches new M3)
3,Supply and Demand,required reading - textbook,External Link,Demand and Supply,OpenStax Chapter 3: Core reading,https://openstax.org/books/principles-microeconomics-3e/pages/3-introduction-to-demand-and-supply,Module 2,moved from old Module 2 (content matches new M3)
3,Supply and Demand,optional reading - textbook,External Link,Labor and Financial Markets (Optional),OpenStax Chapter 4: Optional reading,https://openstax.org/books/principles-microeconomics-3e/pages/4-introduction-to-labor-and-financial-markets,Module 2,moved from old Module 2 (content matches new M3)
4,Market Analysis: Elasticity and Efficiency,Guided Notes,Embedded Resource,Market Analysis,"Guided notes for market equilibrium, surplus, and deadweight loss",https://docs.google.com/document/d/1TK1MnlsQltGxKx42MEi_wA3Ze8sYn12Z/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,Module 4,[LINK UNCHANGED - protected] moved from old Module 4 (Welfare/Efficiency content merges into new M4)
4,Market Analysis: Elasticity and Efficiency,Lecture Slides,Embedded Resource,Market Analysis,"Price elasticity of demand and supply, total revenue, and elasticity applications",https://docs.google.com/presentation/d/1DZvp3sU4LAksPdCzpBcFUjqGSZt4Qava/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,Module 3,[LINK UNCHANGED - protected] moved from old Module 3/4 label (Elasticity content merges into new M4)
4,Market Analysis: Elasticity and Efficiency,Quiz,External Link,Supply & Demand (Quiz 2),Khan Academy practice quiz on price elasticity of demand,https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/unit-2-supply-and-demnd/25/quiz/unit-2-supply-and-demnd-quiz-2,Module 3,moved from old Module 3/4 label (Elasticity content merges into new M4)
